img,output,timestamp
"{""background"": "".gradio\\flagged\\img\\f3870659e0d8741d116d\\background.png"", ""layers"": ["".gradio\\flagged\\img\\b5285a066b68ff32b836\\layer_0.png""], ""composite"": "".gradio\\flagged\\img\\dd8e44bb2c95cc98b72a\\composite.png"", ""id"": null}",0,2025-06-18 19:56:46.266415
"{""background"": "".gradio\\flagged\\img\\b485a912fe6cfe3521e4\\background.png"", ""layers"": ["".gradio\\flagged\\img\\be473496858fd82ded9b\\layer_0.png""], ""composite"": "".gradio\\flagged\\img\\3e0e7f9d118088af372d\\composite.png"", ""id"": null}","{""label"": ""8"", ""confidences"": null}",2025-06-18 20:49:29.062937
